生效日期,证券代码,证券名称,证券英文名称,交易所,证监会行业分类代码,证监会行业分类名称,证监会行业分类英文名称,证监会行业分类代码(全),证监会行业分类名称(全),证监会行业分类英文名称(全)
2021/2/19,002451,摩恩电气,Shanghai Morn Electric Equipment Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002452,长高集团,Hunan Changgao High Voltage Switchgear Group Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002453,华软科技,"Great Chinasoft Technology Co.,Ltd",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,002454,松芝股份,"Songz Automobile Air Conditioning Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,002455,百川股份,Wuxi Baichuan Chemical Industry Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002456,欧菲光,"OFILM Group Co., Ltd.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002457,青龙管业,"Ningxia Qinglong Pipes Industry Group Co., Ltd.",Shenzhen,C,制造业,Manufacturing,30,非金属矿物制品业,Non-metal mineral products
2021/2/19,002458,益生股份,Shan Dong Yisheng Livestock & Poultry Breeding Co Ltd,Shenzhen,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",3,畜牧业,Livestock farming
2021/2/19,002459,晶澳科技,"JA Solar Technology Co., Ltd.",Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002460,赣锋锂业,Ganfeng Lithium Co Ltd,Shenzhen,C,制造业,Manufacturing,32,有色金属冶炼及压延加工业,Non-ferrous metal foundries and presses
2021/2/19,002461,珠江啤酒,Guangzhou Zhujiang Brewery Co Ltd,Shenzhen,C,制造业,Manufacturing,15,酒、饮料和精制茶制造业,Beverage manufacturing
2021/2/19,002462,嘉事堂,Cachet Pharmaceutical Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,002463,沪电股份,Wus Printed Circuit (Kunshan) Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002464,众应互联,"Whole Easy Internet Technology Co., Ltd.",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,64,互联网和相关服务,internet and related service
2021/2/19,002465,海格通信,Guangzhou Haige Communications Group Incorporated Company,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002466,天齐锂业,"Tianqi Lithium Industries, Inc.",Shenzhen,C,制造业,Manufacturing,32,有色金属冶炼及压延加工业,Non-ferrous metal foundries and presses
2021/2/19,002467,二六三,Net263 Ltd,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,64,互联网和相关服务,internet and related service
2021/2/19,002468,申通快递,"STO Express Co.,Ltd.",Shenzhen,G,交通运输、仓储和邮政业,Transportation,60,邮政业,postal service
2021/2/19,002469,三维工程,Shandong Sunway Petrochemical Engineering Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002470,*ST金正,"Kingenta Ecological Engineering Group Co., Ltd",Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002471,中超控股,"Jiangsu Zhongchao Holding CO.,LTD.",Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002472,双环传动,Zhejiang Shuanghuan Driveline Co Ltd,Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,002473,ST圣莱,Ningbo Sunlight Electrical Appliance Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002474,榕基软件,Fujian Rongji Software Co Ltd,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,002475,立讯精密,"Luxshare Precision Industry Co., Ltd.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002476,宝莫股份,Shandong Polymer Biochemicals Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002478,常宝股份,Jiangsu Changbao Steeltube Co Ltd,Shenzhen,C,制造业,Manufacturing,33,金属制品业,Metal products
